類型	檢查項目	目的	說明	已實作	未實作	狀態
AWS IAM Identity Center	人員操作存取模型	確保人員的 AWS 存取集中管理、啟用 MFA，並可稽核	人員存取應透過集中式身份治理管理，並以角色、群組、審核流程與最小權限作為主要控制方式。	無。	repo 未定義 IAM Identity Center permission set、群組、指派或帳號存取邊界；人員 AWS 存取仍屬外部手動治理。	未實作
AWS IAM Identity Center	EKS 人員管理員映射	避免只依賴建立者權限或臨時 admin 使用者管理叢集	叢集管理權限應與組織身份來源連動，讓操作人員的進出、權限調整與稽核具備一致流程。	GitHub apply role 具備建立 EKS access entry 的權限；若由 GitHub 建叢集，可形成一致的 cluster owner。	Terraform 尚未宣告 operator access entry、aws-auth 或 Identity Center role mapping；既有叢集仍可能需要一次性手動映射。	部分實作
AWS IAM	權限邊界	限制被建立角色的最大權限範圍	所有自動化與執行時角色應受到上層權限邊界約束，避免單一角色或 pipeline 擴權到超出專案預期的範圍。	GitHub OIDC roles、EKS cluster/node roles 與 controller IRSA roles 套用 lab-devops-permissions-boundary。	boundary policy 本身由 repo 外管理，屬外部依賴。	已實作 / 外部依賴
GitHub Actions OIDC	不使用長期 AWS 金鑰	移除 CI/CD 中的靜態 AWS credentials	CI/CD 應使用短期、可稽核、按工作流程發放的憑證，降低長期金鑰外洩造成的持續性風險。	AWS workflow jobs 只在需要時宣告 id-token: write，並透過 aws-actions/configure-aws-credentials assume role；repo workflow 未使用長期 AWS access key。	無明確缺口。	已實作
GitHub Actions OIDC	Repository trust 限制	防止其他 repository assume 專案角色	雲端角色信任應綁定到明確的程式碼來源與執行情境，避免未授權的 repository 或 workflow 取得部署權限。	OIDC trust policy 同時限制 aud=sts.amazonaws.com 與 repo-specific sub（noidilin/hiraya），其他 repository 無法直接 assume 專案角色。	無明確缺口。	已實作
GitHub Actions OIDC	Image push trust	限制 image 發佈權限只來自 main branch	映像發布權限應只允許來自受保護分支或受控流程，避免未審核程式碼直接進入正式部署供應鏈。	image-push role 只信任 main branch subject；image-ci 僅由 main push 或手動流程建置推送，ECR repository 也設為 immutable tag。	無明確缺口。	已實作
GitHub Actions OIDC	Infra plan trust	允許 PR 檢視 plan，但不給寫入權限	基礎設施變更審查應提供足夠可見性，但 PR 階段不應具備修改雲端資源或狀態的能力。	plan role 信任同 repo PR 與 main；workflow 對 fork PR 不執行 AWS plan，只保留靜態檢查。	無明確缺口。	已實作
GitHub Actions OIDC	Infra apply trust	要求 deployment 經過 environment gate	實際部署與銷毀應透過受控環境、人工審核與分支限制，將高風險操作從一般 CI 檢查中分離。	apply role 只信任 GitHub Environment dev subject；deploy/destroy workflow 限制 main branch 並要求 environment gate。	無明確缺口。	已實作
GitHub Actions OIDC	Plan role 最小權限	確保 PR plan 不能修改 AWS 或 Terraform state	規劃階段角色應維持唯讀視角，只允許取得評估變更所需的資訊，不應能改動資源或狀態。	plan policy 只有 Terraform state read/list 與 AWS describe/list/get 類權限；測試覆蓋 plan role 不應修改 state。	無明確缺口。	已實作
GitHub Actions OIDC	Apply role 範圍化 mutation	允許 disposable platform lifecycle，但避免 admin access	部署角色應只具備建立、更新與移除目標環境所需的權限，並特別限制可被傳遞或建立的高權限身份。	apply policy 將 IAM role、policy、OIDC provider 與 PassRole 限制在專案命名與服務條件內。	因 AWS API 限制，部分 mutation 仍需 Resource="*"。	已實作
GitHub Actions	Manifest update token	限制 repository write-token 暴露範圍	需要寫回版本資訊的流程應保持最小步驟、最小權限與最短暴露時間，避免寫入憑證被其他建置步驟濫用。	只有 manifest update job 使用 contents: write，並刻意縮小步驟。	接受風險：checkout write token 需 persist 以完成 rebase/push，該 job 仍是高價值憑證暴露點。	已接受風險
GitHub Actions	第三方 action pinning	降低 workflow supply-chain drift 風險	CI/CD 依賴應鎖定可重現版本，避免上游供應鏈變更在未審查情況下影響建置或部署流程。	主要第三方 actions 以 commit SHA pinning，且多數 checkout 使用 persist-credentials: false，降低上游 tag drift 風險。	無明確缺口。	已實作
ECR security	Image scanning	檢查 image 是否含有 high/critical CVE	容器映像應在建置與儲存階段接受弱點掃描，並逐步從提示型檢查提升為阻擋高風險映像的政策控制。	ECR scan_on_push 啟用、tag immutable，image-ci 產生 Trivy HIGH/CRITICAL 報告。	Trivy 目前 exit-code 0 且 continue-on-error，尚未阻擋高風險映像。	部分實作
EKS OIDC	Cluster OIDC provider	啟用 pod-to-AWS federation，避免依賴 node credentials	工作負載應透過叢集身份聯邦取得雲端權限，讓 pod 權限可以與節點權限分離並獨立治理。	EKS module 由 cluster issuer 建立 IAM OIDC provider，client_id_list 限制 sts.amazonaws.com，供 IRSA 使用。	無明確缺口。	已實作
EKS API access	Public endpoint CIDR	避免 Kubernetes API 被過度公開	Kubernetes API 應盡量限制在可信網路或固定來源；臨時公開存取應被視為過渡措施並持續收斂。	EKS private endpoint enabled。	接受風險：dev tfvars 仍允許 public endpoint 0.0.0.0/0 供 GitHub-hosted runner/工作站存取，尚未收斂到 /32 或 private runner。	已接受風險
EKS access control	Access entries	讓 Kubernetes API admin ownership 明確化	叢集 API 權限應明確宣告與版本化，避免依賴建立者隱含權限或一次性手動修補。	bootstrap apply role 具備 CreateAccessEntry/AssociateAccessPolicy 等權限。	platform Terraform 尚未建立具名 operator access entries；管理員歸屬仍依建叢集 principal 或手動修補。	部分實作
IRSA	AWS Load Balancer Controller	允許單一 service account reconcile ALB/Gateway	網路入口控制器應使用專屬身份與受限權限，只能管理其職責範圍內的雲端負載平衡與相關網路資源。	IRSA trust 鎖定 kube-system/aws-load-balancer-controller 且包含 aud/sub 條件。	ELB/EC2 controller policy 多數操作仍需 Resource="*"。	部分實作
IRSA	ExternalDNS	限制 DNS automation 只能管理 public hosted zone / domain	DNS 自動化應限制在指定網域與記錄所有權模型內，避免控制器誤改不相關或高敏感度的 DNS 記錄。	IRSA trust 鎖定 external-dns/external-dns，Route 53 mutation 限定指定 public hosted zone，並使用 domain filter、gateway-httproute source 與 TXT ownership。	無明確缺口。	已實作
IRSA	Fluent Bit	限制 log writer 只能寫入 pod log group	日誌代理應只具備寫入指定觀測性目的地的權限，不應具備讀取或管理其他雲端資源的能力。	IRSA trust 鎖定 amazon-cloudwatch/aws-for-fluent-bit 且包含 aud/sub；IAM policy 僅允許對 /eks/vintage/pods log group 建 stream、查 stream、寫 log events。	無明確缺口。	已實作
IRSA	EBS CSI driver	允許 storage controller 管理 EBS volumes	儲存控制器應以專屬身份管理必要儲存資源，並在信任條件中完整限制來源與使用情境。	EBS CSI add-on 使用專屬 IRSA role 與 AWS managed policy。	trust policy 目前只限制 sub，缺少 aud=sts.amazonaws.com 條件。	部分實作
Kubernetes service accounts	Application AWS permissions	防止 app pods 繼承不必要的 AWS 權限	應用程式工作負載預設不應取得雲端權限；若需要權限，應以專屬身份、明確用途與最小範圍授予。	應用 manifests 未宣告 app IRSA，預設不取得 AWS API 權限。	尚未為各 workload 建 dedicated service account，也未設定 automountServiceAccountToken: false。	部分實作
Kubernetes RBAC	Application RBAC	確保 app workloads 不能修改 cluster resources	應用程式不應預設具備 Kubernetes API 操作能力；不需要 API 存取的工作負載應停用不必要的 token 暴露。	gitops 應用 manifests 未建立 Role/RoleBinding/ClusterRoleBinding 給 app workload。	default service account token 仍會自動掛載，尚未明確停用 Kubernetes API token。	部分實作
Kubernetes Gateway API	跨 namespace route attachment	防止任意 namespace attach public routes	公開入口應只允許經授權的 namespace 掛載路由，透過明確邊界降低誤曝服務的機率。	shared Gateway listener 只接受帶 hiraya.noidilin.dev/public-gateway-access=true label 的 namespace；vintage、argocd、monitoring 由 Terraform/GitOps 明確標記。	無明確缺口。	已實作
Argo CD	GitOps 權限邊界	限制 GitOps 可以 reconcile 的資源範圍	GitOps 控制平面應限制可同步的來源、目的地與資源種類，避免單一同步設定擁有過大的叢集變更範圍。	Argo CD Application 只同步 main branch 的 gitops/ path，並啟用 prune/selfHeal。	仍使用 default project，尚未定義限制來源、目的地與資源種類的 AppProject。	部分實作
Admin UIs	Operator authentication	保護 Argo CD 與 Grafana admin surfaces	管理介面即使使用強密碼，也應逐步納入 SSO、來源限制與操作稽核，降低公開入口暴露風險。	Argo CD 與 Grafana 以 ClusterIP 服務掛在 shared ALB HTTPS route 後，admin 密碼由 Terraform 隨機產生。	尚未導入 SSO/Identity Center、IP allowlist 或細緻操作稽核。	部分實作
Secrets	Secret storage permissions	避免 plaintext operational credentials 出現在 Git 與 state	營運密鑰應集中存放於受控 secret manager，搭配加密、存取審計與輪替流程，而不是散落在程式碼或狀態資料中。	Argo CD/Grafana admin password 由 Terraform 產生並標為 sensitive output。	app DB secrets 仍以 stringData 明文存於 Git；admin 密碼仍存在 Terraform state/Kubernetes Secret；尚未搬到 Secrets Manager/KMS。	部分實作
